Date,Close,Open,High,Low,Volume,Change %
2017-03-31,7311.72,7336.61,7340.64,7301.69,158070.0,-0.28%
2017-04-03,7341.65,7323.74,7346.0,7317.74,157200.0,0.41%
2017-04-04,7446.49,7363.88,7456.26,7354.57,171300.0,1.43%
2017-04-05,7584.21,7478.5,7584.86,7476.57,253000.0,1.85%
2017-04-06,7565.32,7580.24,7603.9,7529.47,320720.0,-0.25%
2017-04-07,7583.75,7559.65,7667.33,7553.52,292330.0,0.24%
2017-04-10,7617.91,7598.24,7624.2,7580.36,173640.0,0.45%
2017-04-11,7601.4,7615.95,7645.1,7588.82,156040.0,-0.22%
2017-04-12,7629.64,7600.78,7631.8,7594.72,163040.0,0.37%
2017-04-17,7588.53,7615.44,7621.5,7584.34,96780.0,-0.54%
2017-04-18,7588.98,7594.92,7607.83,7573.71,108260.0,0.01%
2017-04-19,7522.98,7586.44,7591.81,7502.93,107120.0,-0.87%
2017-04-20,7563.45,7502.29,7563.45,7493.96,190700.0,0.54%
2017-04-21,7578.16,7585.04,7609.65,7575.34,135400.0,0.19%
2017-04-24,7588.88,7585.36,7599.05,7565.02,114200.0,0.14%
2017-04-25,7700.46,7599.9,7719.67,7596.39,176710.0,1.47%
2017-04-26,7726.45,7708.85,7733.78,7683.47,117490.0,0.34%
2017-04-27,7661.01,7721.16,7721.16,7661.01,124150.0,-0.85%
2017-05-02,7703.1,7687.29,7720.33,7685.54,144870.0,0.55%
2017-05-03,7682.26,7713.86,7731.98,7682.26,129370.0,-0.27%
2017-05-04,7755.75,7696.22,7767.91,7689.2,153120.0,0.96%
2017-05-05,7841.99,7753.06,7908.97,7742.51,205440.0,1.11%
2017-05-08,7962.33,7849.89,7962.33,7849.89,242060.0,1.53%
2017-05-09,7923.5,7980.36,8018.39,7913.14,187600.0,-0.49%
2017-05-10,7794.17,7915.06,7943.72,7794.17,216380.0,-1.63%
2017-05-11,7816.4,7798.81,7863.97,7773.17,211070.0,0.29%
2017-05-12,7815.53,7797.84,7815.53,7724.37,174640.0,-0.01%
2017-05-15,7772.93,7818.02,7860.31,7772.93,151800.0,-0.55%
2017-05-16,7791.07,7805.53,7840.68,7789.13,206240.0,0.23%
2017-05-17,7826.53,7805.57,7842.21,7803.09,164850.0,0.46%
2017-05-18,7757.69,7797.52,7797.52,7718.96,145670.0,-0.88%
2017-05-19,7767.62,7755.35,7767.62,7738.75,121000.0,0.13%
2017-05-22,7806.57,7795.29,7821.28,7795.29,192690.0,0.50%
2017-05-23,7812.14,7823.03,7848.14,7812.14,243920.0,0.07%
2017-05-24,7837.82,7788.11,7837.82,7761.61,126350.0,0.33%
2017-05-25,7871.65,7845.81,7873.86,7828.94,135110.0,0.43%
2017-05-26,7867.49,7870.03,7885.42,7858.77,180990.0,-0.05%
2017-05-29,7886.03,7866.48,7925.9,7866.4,173000.0,0.24%
2017-05-30,7860.77,7891.75,7897.77,7850.47,153430.0,-0.32%
2017-05-31,7837.12,7855.98,7858.2,7816.61,469150.0,-0.30%
2017-06-01,7927.49,7835.27,7936.03,7835.27,210140.0,1.15%
2017-06-02,7907.66,7921.4,8002.32,7907.66,222700.0,-0.25%
2017-06-05,8001.38,7954.62,8040.34,7954.62,144050.0,1.19%
2017-06-06,7953.12,8019.2,8020.1,7953.12,147040.0,-0.60%
2017-06-07,8002.32,7964.02,8018.25,7964.02,190670.0,0.62%
2017-06-08,7958.63,8007.04,8046.63,7947.71,178540.0,-0.55%
2017-06-09,7990.24,7961.46,8026.33,7956.71,153610.0,0.40%
2017-06-13,7917.89,7995.98,7998.76,7900.11,208580.0,-0.91%
2017-06-14,7966.01,7933.75,7966.01,7901.84,156200.0,0.61%
2017-06-15,7964.49,7975.43,8028.22,7964.49,149400.0,-0.02%
2017-06-16,7882.22,7961.94,7961.94,7882.22,427530.0,-1.03%
2017-06-19,7943.75,7900.72,7951.08,7900.72,100040.0,0.78%
2017-06-20,7917.86,7944.84,7950.57,7917.86,103260.0,-0.33%
2017-06-21,7886.37,7921.88,7921.88,7851.97,111130.0,-0.40%
2017-06-22,7858.34,7886.59,7886.59,7831.82,167490.0,-0.36%
2017-06-23,7814.17,7872.59,7872.59,7799.89,94450.0,-0.56%
2017-06-27,7876.37,7851.93,7890.63,7837.23,92260.0,0.80%
2017-06-28,7857.18,7889.8,7894.33,7854.78,112170.0,-0.24%
2017-06-29,7788.06,7877.35,7877.69,7774.49,161650.0,-0.88%
2017-06-30,7843.16,7774.91,7843.16,7734.52,215740.0,0.71%
2017-07-03,7866.52,7840.23,7866.52,7797.83,96890.0,0.30%
2017-07-04,7833.96,7854.98,7858.9,7830.33,83930.0,-0.41%
2017-07-05,7848.84,7848.03,7848.84,7821.37,104650.0,0.19%
2017-07-06,7888.31,7850.5,7892.71,7849.08,172740.0,0.50%
2017-07-07,7889.33,7887.69,7894.61,7880.13,144050.0,0.01%
2017-07-10,7837.47,7889.47,7900.28,7837.47,112790.0,-0.66%
2017-07-11,7858.14,7846.84,7863.66,7844.63,133920.0,0.26%
2017-07-12,7938.37,7872.63,7952.96,7872.63,238320.0,1.02%
2017-07-13,7936.85,7963.73,7994.27,7911.83,180780.0,-0.02%
2017-07-14,7885.9,7952.87,7958.08,7875.52,127190.0,-0.64%
