"Date","Price","Open","High","Low","Vol.","Change %"
"11/17/2025","5,779.12","5,616.10","5,795.85","5,616.10","121.22K","3.49%"
"11/14/2025","5,584.35","5,726.39","5,769.81","5,584.35","91.41K","-2.49%"
"11/13/2025","5,726.99","5,704.37","5,768.91","5,690.69","102.22K","0.23%"
"11/12/2025","5,714.02","5,646.35","5,721.44","5,646.35","79.49K","1.51%"
"11/11/2025","5,629.07","5,712.17","5,712.17","5,613.41","148.52K","-1.29%"
"11/10/2025","5,702.64","5,763.46","5,784.34","5,702.64","132.50K","-0.99%"
"11/07/2025","5,759.37","5,790.67","5,804.82","5,722.71","142.13K","-1.31%"
"11/06/2025","5,835.59","5,833.88","5,876.30","5,828.40","95.55K","0.30%"
"11/05/2025","5,818.06","5,891.23","5,891.23","5,763.68","85.08K","-0.83%"
"11/04/2025","5,867.04","5,849.21","5,907.13","5,849.21","97.47K","0.67%"
"11/03/2025","5,828.06","5,801.34","5,828.97","5,761.32","65.43K","-1.71%"
"10/30/2025","5,929.68","5,961.56","5,972.45","5,905.27","88.79K","-0.57%"
"10/29/2025","5,963.77","5,961.28","6,021.29","5,959.02","89.28K","0.18%"
"10/28/2025","5,953.16","5,934.39","5,961.49","5,926.54","63.39K","0.33%"
"10/27/2025","5,933.76","5,996.42","5,996.42","5,895.02","86.60K","-0.91%"
"10/24/2025","5,988.02","6,062.35","6,069.89","5,980.35","191.61K","-1.09%"
"10/23/2025","6,053.96","6,024.51","6,055.75","6,006.60","74.19K","0.38%"
"10/22/2025","6,030.87","6,087.84","6,093.78","6,023.81","65.54K","-1.03%"
"10/21/2025","6,093.53","6,113.50","6,130.98","6,078.65","87.85K","0.16%"
"10/20/2025","6,084.07","6,110.68","6,141.87","6,084.07","52.14K","-0.09%"
"10/17/2025","6,089.53","6,120.45","6,120.45","6,077.44","54.82K","-0.07%"
"10/16/2025","6,093.67","6,104.47","6,130.17","6,093.67","49.26K","-0.01%"
"10/15/2025","6,094.10","6,103.46","6,110.73","6,071.56","139.13K","0.29%"
"10/14/2025","6,076.22","6,054.07","6,112.99","6,054.07","64.41K","0.39%"
"10/13/2025","6,052.33","6,026.11","6,078.37","6,002.98","73.40K","0.24%"
"10/10/2025","6,037.79","6,051.23","6,071.42","6,032.26","75.38K","-0.32%"
"10/09/2025","6,057.40","6,105.56","6,117.08","6,056.65","84.96K","-0.68%"
"10/08/2025","6,098.74","6,097.06","6,138.25","6,093.90","98.03K","0.25%"
"10/07/2025","6,083.83","6,007.40","6,083.83","6,007.40","69.34K","1.39%"
"10/06/2025","6,000.32","6,111.15","6,129.10","6,000.32","84.33K","-1.78%"
"10/03/2025","6,108.86","6,063.22","6,108.86","6,034.48","56.24K","1.14%"
"10/02/2025","6,039.76","6,025.15","6,050.55","6,008.55","69.04K","0.23%"
"10/01/2025","6,026.03","5,951.85","6,033.59","5,932.35","82.72K","1.22%"
"09/30/2025","5,953.46","5,991.19","6,008.61","5,905.35","113.33K","-0.74%"
"09/29/2025","5,997.60","6,042.94","6,059.09","5,984.09","63.15K","-0.49%"
"09/26/2025","6,027.12","6,067.04","6,067.04","5,997.75","105.22K","-0.25%"
"09/25/2025","6,042.28","6,117.29","6,120.89","6,032.20","92.78K","-1.09%"
"09/24/2025","6,108.72","6,132.32","6,149.21","6,080.42","62.45K","-0.16%"
"09/23/2025","6,118.54","6,222.46","6,236.15","6,118.54","78.19K","-1.55%"
"09/22/2025","6,214.83","6,256.08","6,256.08","6,210.69","65.92K","-0.79%"
"09/19/2025","6,264.49","6,255.79","6,287.38","6,248.46","178.07K","0.50%"
"09/18/2025","6,233.62","6,197.84","6,233.62","6,186.15","95.80K","0.37%"
"09/17/2025","6,210.66","6,167.69","6,225.45","6,155.22","102.46K","1.01%"
"09/16/2025","6,148.74","6,066.73","6,158.50","6,066.73","121.15K","1.51%"
"09/15/2025","6,057.43","6,116.10","6,116.10","6,036.63","104.77K","-0.85%"
"09/12/2025","6,109.21","6,133.52","6,146.65","6,102.01","175.49K","-0.29%"
"09/11/2025","6,126.89","6,137.72","6,138.27","6,114.11","103.48K","0.11%"
"09/10/2025","6,120.09","6,134.37","6,151.73","6,109.34","106.24K","-0.04%"
"09/09/2025","6,122.71","6,107.42","6,142.33","6,100.23","107.48K","0.34%"
"09/08/2025","6,101.86","6,162.01","6,170.24","6,101.86","89.87K","-0.77%"
"09/05/2025","6,149.13","6,131.39","6,175.48","6,122.90","74.65K","0.69%"
"09/04/2025","6,106.92","6,095.15","6,115.99","6,088.21","78.74K","0.39%"
"09/03/2025","6,082.93","6,113.35","6,113.35","6,065.10","68.98K","-0.75%"
"09/02/2025","6,128.89","6,145.26","6,145.68","6,076.27","101.47K","-0.19%"
"09/01/2025","6,140.35","6,170.68","6,170.68","6,114.34","60.50K","-0.25%"
"08/29/2025","6,155.57","6,186.63","6,207.80","6,137.09","101.08K","-0.56%"
"08/28/2025","6,190.19","6,279.05","6,279.05","6,190.19","96.84K","-1.33%"
"08/27/2025","6,273.34","6,197.57","6,277.91","6,184.23","119.54K","2.08%"
"08/26/2025","6,145.24","6,267.93","6,271.75","6,145.24","179.98K","-2.17%"
"08/22/2025","6,281.58","6,309.24","6,309.24","6,267.55","86.67K","0.06%"
"08/20/2025","6,277.87","6,288.28","6,301.50","6,270.94","90.10K","0.00%"
"08/19/2025","6,277.67","6,288.58","6,290.17","6,237.51","103.12K","-0.18%"
"08/18/2025","6,288.88","6,331.01","6,336.36","6,286.09","85.32K","-0.43%"
"08/15/2025","6,315.93","6,313.43","6,321.17","6,266.71","257.91K","0.38%"
"08/14/2025","6,291.85","6,346.17","6,366.78","6,291.85","145.41K","-0.53%"
"08/13/2025","6,325.09","6,300.36","6,340.50","6,286.68","217.98K","0.56%"
"08/12/2025","6,289.85","6,266.76","6,299.41","6,260.17","154.32K","0.57%"
"08/11/2025","6,254.36","6,340.29","6,342.63","6,244.77","119.86K","-1.34%"
"08/08/2025","6,339.38","6,355.32","6,377.49","6,322.83","97.80K","-0.40%"
"08/07/2025","6,364.69","6,386.91","6,388.58","6,310.97","114.83K","-0.09%"
"08/06/2025","6,370.65","6,355.89","6,412.43","6,348.73","106.99K","0.27%"
"08/05/2025","6,353.63","6,355.52","6,375.38","6,334.82","82.30K","0.08%"
"08/04/2025","6,348.65","6,315.54","6,348.65","6,258.93","95.36K","0.67%"
"08/01/2025","6,306.13","6,257.29","6,306.13","6,245.02","82.14K","0.85%"
"07/31/2025","6,252.73","6,314.40","6,315.49","6,222.04","112.89K","-1.04%"
"07/30/2025","6,318.23","6,328.78","6,333.92","6,305.51","64.51K","-0.11%"
"07/29/2025","6,325.42","6,384.23","6,384.23","6,316.70","134.38K","-0.85%"
"07/28/2025","6,379.75","6,411.26","6,417.43","6,340.51","115.99K","-0.52%"
"07/25/2025","6,413.18","6,461.85","6,461.85","6,393.83","88.27K","-0.48%"
"07/24/2025","6,444.16","6,451.62","6,466.10","6,436.34","77.88K","-0.28%"
"07/23/2025","6,462.25","6,370.34","6,462.25","6,370.34","98.96K","1.68%"
"07/22/2025","6,355.69","6,365.26","6,365.26","6,326.26","76.35K","0.05%"
"07/21/2025","6,352.74","6,310.10","6,355.09","6,310.10","101.55K","0.78%"
"07/18/2025","6,303.72","6,312.64","6,339.86","6,290.60","122.07K","0.13%"
"07/17/2025","6,295.55","6,347.10","6,358.59","6,285.41","132.66K","-0.66%"
"07/16/2025","6,337.48","6,428.26","6,428.26","6,309.31","131.51K","-1.89%"
"07/15/2025","6,459.47","6,529.94","6,537.85","6,459.47","113.59K","-1.00%"
"07/14/2025","6,525.04","6,479.13","6,547.80","6,476.57","105.96K","1.01%"
"07/11/2025","6,459.88","6,481.45","6,488.15","6,450.41","108.98K","-0.05%"
"07/10/2025","6,463.20","6,511.92","6,536.68","6,463.20","147.19K","-0.63%"
"07/09/2025","6,504.34","6,438.62","6,508.60","6,438.62","143.82K","1.10%"
"07/08/2025","6,433.60","6,422.83","6,447.42","6,393.31","124.52K","0.13%"
"07/07/2025","6,425.24","6,403.57","6,425.24","6,376.99","117.91K","0.46%"
"07/04/2025","6,395.57","6,469.41","6,470.01","6,395.57","128.87K","-1.13%"
"07/03/2025","6,468.98","6,401.20","6,489.66","6,401.20","244.83K","0.78%"
"07/02/2025","6,419.05","6,416.95","6,419.05","6,385.54","152.20K","-0.07%"
"07/01/2025","6,423.85","6,393.66","6,423.85","6,372.59","210.45K","0.93%"
"06/30/2025","6,364.94","6,414.06","6,448.02","6,364.94","198.97K","-0.68%"
"06/27/2025","6,408.27","6,334.74","6,417.24","6,334.74","165.46K","1.23%"
"06/26/2025","6,330.65","6,340.99","6,345.66","6,306.41","179.03K","0.08%"
"06/25/2025","6,325.64","6,307.97","6,337.96","6,307.97","114.63K","0.52%"
"06/24/2025","6,292.75","6,259.62","6,331.02","6,259.62","133.63K","1.20%"
"06/23/2025","6,218.28","6,300.17","6,300.17","6,204.04","165.91K","-1.92%"
"06/20/2025","6,339.77","6,358.34","6,370.28","6,332.50","471.12K","-0.27%"
"06/19/2025","6,357.01","6,344.34","6,365.97","6,320.56","138.04K","0.31%"
"06/18/2025","6,337.43","6,375.54","6,386.04","6,332.58","141.10K","-0.50%"
"06/17/2025","6,369.19","6,378.59","6,396.94","6,364.77","150.82K","0.17%"
"06/16/2025","6,358.58","6,375.68","6,377.27","6,335.98","152.75K","-0.58%"
"06/13/2025","6,395.59","6,405.76","6,422.90","6,394.85","309.63K","0.22%"
"06/11/2025","6,381.32","6,359.53","6,384.45","6,345.77","211.20K","0.53%"
"06/10/2025","6,347.67","6,403.75","6,413.18","6,340.24","374.12K","-0.91%"
"06/09/2025","6,406.13","6,386.99","6,406.13","6,368.96","221.66K","0.46%"
"06/05/2025","6,376.79","6,379.14","6,401.67","6,361.58","166.07K","-0.03%"
"06/04/2025","6,378.56","6,420.27","6,428.89","6,378.56","165.91K","-0.53%"
"06/03/2025","6,412.86","6,366.32","6,412.86","6,366.32","209.40K","0.95%"
"06/02/2025","6,352.66","6,350.37","6,367.91","6,319.29","150.04K","0.18%"
"05/30/2025","6,341.53","6,444.92","6,456.27","6,337.24","512.10K","-1.11%"
"05/29/2025","6,412.81","6,452.93","6,453.72","6,412.81","129.04K","-0.20%"
"05/28/2025","6,425.80","6,411.01","6,473.82","6,411.01","168.42K","0.64%"
"05/27/2025","6,384.62","6,387.32","6,399.85","6,374.91","162.36K","-0.08%"
"05/26/2025","6,389.94","6,403.32","6,405.31","6,373.35","115.25K","-0.36%"
"05/23/2025","6,413.10","6,335.06","6,413.10","6,335.06","117.84K","1.71%"
"05/22/2025","6,305.37","6,360.38","6,360.38","6,269.09","126.77K","-1.10%"
"05/21/2025","6,375.35","6,343.80","6,375.35","6,315.04","116.13K","0.63%"
"05/20/2025","6,335.33","6,458.27","6,458.27","6,335.33","160.74K","-1.85%"
"05/19/2025","6,454.84","6,482.87","6,482.87","6,445.02","142.99K","-0.17%"
"05/16/2025","6,465.53","6,459.74","6,471.88","6,403.03","97.68K","-0.02%"
"05/15/2025","6,466.86","6,537.47","6,537.47","6,436.00","186.02K","-1.30%"
"05/14/2025","6,551.81","6,558.56","6,591.94","6,550.06","215.43K","-0.23%"
"05/13/2025","6,566.82","6,506.22","6,566.82","6,499.87","153.19K","1.68%"
"05/09/2025","6,458.20","6,441.35","6,487.49","6,433.94","185.56K","1.08%"
"05/08/2025","6,389.49","6,474.70","6,516.85","6,389.49","139.51K","-1.17%"
"05/07/2025","6,465.45","6,458.35","6,531.99","6,458.35","178.79K","0.73%"
"05/06/2025","6,418.69","6,368.85","6,437.98","6,368.85","241.08K","0.93%"
"05/05/2025","6,359.63","6,418.62","6,445.35","6,359.63","192.09K","-0.81%"
"05/02/2025","6,411.86","6,373.97","6,452.63","6,370.94","153.50K","0.89%"
"04/30/2025","6,354.99","6,280.28","6,375.45","6,278.54","183.21K","1.64%"
"04/29/2025","6,252.19","6,268.53","6,285.98","6,223.75","121.87K","0.04%"
"04/28/2025","6,249.50","6,293.51","6,323.45","6,249.50","224.52K","-0.31%"
"04/25/2025","6,268.75","6,188.12","6,294.72","6,188.12","266.46K","1.79%"
"04/24/2025","6,158.48","6,167.28","6,183.87","6,146.41","100.32K","-0.16%"
"04/23/2025","6,168.48","6,148.48","6,168.48","6,111.71","163.21K","0.37%"
"04/22/2025","6,145.59","6,146.16","6,150.24","6,112.26","66.33K","0.12%"
"04/21/2025","6,138.00","6,143.07","6,152.38","6,120.30","74.31K","0.06%"
"04/16/2025","6,134.62","6,175.06","6,178.08","6,121.26","73.52K","-0.83%"
"04/15/2025","6,186.10","6,131.53","6,186.10","6,128.23","133.08K","0.66%"
"04/14/2025","6,145.52","6,111.60","6,145.52","6,091.61","62.35K","1.04%"
"04/11/2025","6,082.44","6,048.74","6,087.18","5,970.08","70.22K","0.08%"
"04/10/2025","6,077.82","6,197.72","6,197.72","6,067.97","133.99K","1.19%"
"04/08/2025","6,006.34","5,839.06","6,006.34","5,839.06","97.68K","3.15%"
"04/07/2025","5,822.85","5,900.19","5,900.19","5,804.56","151.40K","-4.30%"
"04/04/2025","6,084.19","6,111.11","6,111.11","6,053.74","69.31K","-1.00%"
"04/03/2025","6,145.73","6,221.02","6,221.02","6,112.78","68.91K","-1.63%"
"04/02/2025","6,247.68","6,197.22","6,247.68","6,170.36","89.96K","1.08%"
"03/31/2025","6,180.72","6,149.19","6,180.72","6,105.93","111.81K","0.54%"
"03/28/2025","6,147.44","6,142.99","6,151.30","6,126.60","64.35K","0.13%"
"03/27/2025","6,139.51","6,180.22","6,180.22","6,125.52","100.85K","-0.43%"
"03/26/2025","6,166.05","6,162.19","6,166.05","6,114.36","99.84K","0.10%"
"03/25/2025","6,159.85","6,194.02","6,194.02","6,106.39","79.81K","-0.52%"
"03/24/2025","6,192.02","6,266.43","6,266.43","6,187.49","123.83K","-1.19%"
"03/21/2025","6,266.75","6,325.94","6,325.94","6,266.75","154.52K","-0.89%"
"03/20/2025","6,323.13","6,315.11","6,337.72","6,305.53","76.91K","0.16%"
"03/19/2025","6,313.12","6,268.50","6,313.12","6,245.24","140.60K","0.45%"
"03/18/2025","6,284.68","6,312.63","6,329.74","6,284.68","89.07K","-0.34%"
"03/17/2025","6,306.19","6,313.24","6,335.95","6,306.19","85.82K","0.19%"
"03/14/2025","6,294.11","6,251.46","6,299.70","6,236.60","100.73K","0.83%"
"03/13/2025","6,242.07","6,212.10","6,271.49","6,206.63","108.44K","0.76%"
"03/12/2025","6,195.26","6,173.74","6,195.26","6,123.88","121.25K","-0.18%"
"03/11/2025","6,206.55","6,311.30","6,311.34","6,156.97","164.94K","-2.42%"
"03/10/2025","6,360.77","6,283.09","6,360.77","6,279.42","101.81K","0.99%"
"03/07/2025","6,298.29","6,237.22","6,306.17","6,224.20","94.75K","1.26%"
"03/06/2025","6,219.96","6,139.41","6,275.34","6,135.97","116.81K","1.60%"
"03/05/2025","6,121.77","6,060.96","6,141.60","6,057.72","137.05K","0.95%"
"03/04/2025","6,064.11","6,040.94","6,081.27","6,000.54","104.34K","0.45%"
"03/03/2025","6,037.19","6,045.57","6,087.10","6,037.19","169.25K","0.65%"
"02/28/2025","5,997.97","6,143.16","6,143.16","5,997.97","531.86K","-2.06%"
"02/27/2025","6,124.09","6,151.30","6,168.83","6,122.05","90.75K","-0.34%"
"02/26/2025","6,144.96","6,070.59","6,144.96","6,058.21","98.77K","1.33%"
"02/25/2025","6,064.16","6,101.29","6,106.34","6,030.06","71.00K","-0.52%"
"02/24/2025","6,095.97","6,108.02","6,114.60","6,060.47","76.30K","-0.03%"
"02/21/2025","6,098.04","6,070.30","6,114.58","6,068.99","74.64K","0.52%"
"02/20/2025","6,066.63","6,126.77","6,126.77","6,050.29","106.20K","-0.87%"
"02/19/2025","6,119.88","6,097.77","6,142.86","6,089.65","101.62K","0.41%"
"02/18/2025","6,094.96","5,994.64","6,107.62","5,994.64","108.00K","1.69%"
"02/17/2025","5,993.48","6,070.02","6,070.02","5,968.53","136.46K","-1.12%"
"02/14/2025","6,061.33","6,111.99","6,113.45","6,061.33","121.59K","-0.85%"
"02/13/2025","6,113.19","6,038.17","6,117.27","6,022.94","88.08K","1.14%"
"02/12/2025","6,044.13","6,013.43","6,073.83","5,957.48","106.37K","0.94%"
"02/11/2025","5,987.75","6,059.31","6,059.31","5,955.73","86.52K","-0.82%"
"02/10/2025","6,037.12","6,167.57","6,188.89","6,030.50","79.45K","-1.92%"
"02/07/2025","6,154.99","6,254.65","6,254.65","6,154.99","81.77K","-1.39%"
"02/06/2025","6,241.97","6,281.09","6,281.09","6,206.72","76.51K","-0.62%"
"02/05/2025","6,281.08","6,102.49","6,282.07","6,094.66","131.90K","3.15%"
"02/04/2025","6,089.06","5,930.74","6,094.00","5,930.74","96.72K","3.50%"
"02/03/2025","5,883.04","5,986.65","5,994.04","5,883.04","240.73K","0.35%"
"01/31/2025","5,862.59","6,122.63","6,128.93","5,862.59","593.88K","-4.01%"
"01/30/2025","6,107.66","6,163.02","6,163.02","6,076.93","138.81K","-0.74%"
"01/28/2025","6,153.47","6,212.08","6,248.31","6,153.47","66.14K","-0.70%"
"01/27/2025","6,196.88","6,320.78","6,325.61","6,196.88","82.04K","-1.58%"
"01/24/2025","6,296.20","6,367.87","6,378.70","6,296.20","70.44K","-1.30%"
"01/23/2025","6,378.86","6,359.37","6,385.73","6,319.39","69.31K","0.48%"
"01/22/2025","6,348.34","6,335.59","6,392.05","6,335.59","104.14K","0.13%"
"01/21/2025","6,340.21","6,339.24","6,368.03","6,326.30","70.42K","-0.15%"
"01/20/2025","6,349.89","6,319.83","6,382.25","6,316.85","85.21K","-0.04%"
"01/17/2025","6,352.12","6,329.43","6,352.12","6,278.11","67.65K","1.38%"
"01/16/2025","6,265.52","6,370.58","6,419.26","6,265.52","121.24K","-1.03%"
"01/15/2025","6,330.46","6,332.65","6,373.07","6,309.09","112.09K","0.49%"
"01/14/2025","6,299.67","6,353.95","6,374.72","6,290.89","98.34K","-0.68%"
"01/13/2025","6,343.10","6,492.87","6,492.87","6,343.10","82.01K","-2.36%"
"01/10/2025","6,496.32","6,516.46","6,520.29","6,473.13","62.17K","-0.23%"
"01/09/2025","6,511.57","6,501.00","6,516.70","6,460.60","62.72K","0.23%"
"01/08/2025","6,496.72","6,565.29","6,566.71","6,496.72","70.30K","-0.74%"
"01/07/2025","6,545.38","6,628.16","6,640.99","6,545.38","81.03K","-1.20%"
"01/06/2025","6,625.17","6,623.23","6,661.13","6,602.76","49.00K","0.32%"
"01/03/2025","6,603.81","6,540.32","6,627.12","6,521.61","61.25K","0.82%"
"01/02/2025","6,550.39","6,527.84","6,550.39","6,484.57","45.31K","0.33%"
"12/27/2024","6,528.79","6,558.81","6,560.34","6,472.75","86.56K","-0.16%"
"12/26/2024","6,539.02","6,523.56","6,539.31","6,489.47","38.18K","0.06%"
"12/23/2024","6,534.91","6,422.74","6,534.91","6,382.20","62.06K","2.01%"
"12/20/2024","6,406.38","6,415.82","6,476.93","6,401.86","111.72K","0.17%"
"12/19/2024","6,395.60","6,439.38","6,439.38","6,337.83","113.64K","-1.14%"
"12/18/2024","6,469.08","6,512.49","6,520.81","6,461.19","71.66K","-0.50%"
"12/17/2024","6,501.71","6,591.24","6,591.24","6,462.72","134.69K","-1.72%"
"12/16/2024","6,615.16","6,622.51","6,633.89","6,575.07","89.37K","-0.02%"
"12/13/2024","6,616.51","6,631.61","6,633.60","6,583.61","77.76K","-0.37%"
"12/12/2024","6,641.35","6,622.33","6,667.98","6,598.50","132.14K","-0.02%"
"12/11/2024","6,642.71","6,720.93","6,724.90","6,642.71","75.08K","-1.22%"
"12/10/2024","6,724.82","6,729.05","6,742.01","6,648.24","101.11K","0.66%"
"12/09/2024","6,680.57","6,729.14","6,729.14","6,670.23","66.09K","-0.72%"
"12/06/2024","6,729.14","6,692.95","6,729.14","6,645.28","63.60K","0.57%"
"12/05/2024","6,690.77","6,730.06","6,737.23","6,683.67","81.30K","-0.58%"
"12/04/2024","6,729.96","6,743.86","6,762.88","6,701.35","85.02K","-0.06%"
"12/03/2024","6,734.21","6,771.92","6,771.92","6,707.13","77.25K","-0.13%"
"12/02/2024","6,742.89","6,625.70","6,742.89","6,625.70","68.99K","1.95%"
"11/29/2024","6,613.85","6,634.25","6,683.54","6,609.56","101.15K","-0.37%"
"11/28/2024","6,638.54","6,702.93","6,711.37","6,613.07","79.33K","-0.96%"
"11/27/2024","6,702.59","6,820.98","6,823.14","6,702.59","65.02K","-1.53%"
"11/26/2024","6,806.86","6,852.99","6,859.16","6,806.86","67.81K","-0.63%"
"11/25/2024","6,850.00","6,803.10","6,880.76","6,794.47","138.21K","1.03%"
"11/22/2024","6,780.13","6,856.28","6,856.28","6,771.37","62.57K","-1.21%"
"11/21/2024","6,863.01","6,890.76","6,919.57","6,857.90","80.69K","-1.61%"
"11/20/2024","6,975.63","6,829.21","6,975.63","6,775.72","93.76K","2.53%"
"11/19/2024","6,803.19","6,768.94","6,835.23","6,758.38","91.45K","0.62%"
"11/18/2024","6,761.35","6,710.67","6,774.24","6,693.39","91.15K","1.27%"
"11/15/2024","6,676.65","6,567.44","6,694.59","6,565.15","97.73K","1.82%"
"11/14/2024","6,557.09","6,730.38","6,730.38","6,557.09","126.98K","-2.34%"
"11/13/2024","6,714.33","6,815.61","6,832.99","6,714.33","118.04K","-1.41%"
"11/12/2024","6,810.11","6,934.11","6,953.97","6,810.11","90.47K","-1.87%"
"11/11/2024","6,940.01","6,967.48","6,969.17","6,900.93","65.88K","-0.53%"
"11/08/2024","6,977.18","7,010.02","7,010.02","6,899.20","93.25K","-0.53%"
"11/07/2024","7,014.44","7,142.54","7,142.54","6,923.99","126.62K","-2.11%"
"11/06/2024","7,165.42","7,252.95","7,262.24","7,154.88","63.09K","-1.27%"
"11/05/2024","7,257.94","7,131.26","7,257.94","7,131.26","64.90K","1.71%"
"11/04/2024","7,136.10","7,150.56","7,150.56","7,106.68","61.61K","-0.10%"
"10/31/2024","7,142.96","7,252.11","7,252.11","7,142.96","72.13K","-1.89%"
"10/30/2024","7,280.24","7,215.72","7,280.24","7,184.72","73.59K","0.56%"
"10/29/2024","7,239.98","7,331.89","7,331.89","7,230.97","79.63K","-1.41%"
"10/28/2024","7,343.24","7,314.42","7,355.55","7,296.03","48.07K","0.40%"
"10/25/2024","7,314.23","7,283.79","7,317.43","7,272.21","57.65K","0.42%"
"10/24/2024","7,283.79","7,354.07","7,354.07","7,283.79","73.25K","-1.14%"
"10/23/2024","7,367.66","7,411.31","7,415.90","7,346.24","101.85K","-0.61%"
"10/22/2024","7,413.16","7,414.13","7,452.74","7,398.99","94.25K","0.09%"
"10/21/2024","7,406.63","7,416.81","7,428.02","7,386.85","38.35K","-0.12%"
"10/18/2024","7,415.73","7,427.59","7,447.94","7,393.15","64.19K","0.21%"
"10/17/2024","7,400.33","7,468.04","7,484.67","7,400.33","91.13K","-0.49%"
"10/16/2024","7,437.00","7,471.88","7,483.78","7,430.40","115.84K","-0.26%"
"10/15/2024","7,456.31","7,359.10","7,479.59","7,359.10","76.62K","1.77%"
"10/14/2024","7,326.41","7,334.59","7,404.46","7,326.41","56.83K","0.22%"
"10/11/2024","7,310.32","7,415.19","7,415.19","7,291.05","72.95K","-1.36%"
"10/10/2024","7,411.47","7,416.43","7,457.41","7,399.43","75.00K","-0.18%"
"10/09/2024","7,424.52","7,518.21","7,518.21","7,424.52","85.12K","-1.50%"
"10/08/2024","7,537.25","7,535.34","7,546.29","7,488.99","91.69K","-0.23%"
"10/07/2024","7,554.68","7,464.81","7,604.61","7,464.81","110.54K","1.16%"
"10/04/2024","7,467.92","7,392.49","7,467.92","7,392.41","96.06K","1.07%"
"10/03/2024","7,388.92","7,406.79","7,470.39","7,388.92","84.16K","-0.19%"
"10/02/2024","7,402.81","7,351.77","7,412.87","7,335.19","64.96K","0.30%"
"10/01/2024","7,380.32","7,278.15","7,388.15","7,278.15","65.71K","1.48%"
"09/30/2024","7,272.65","7,417.48","7,421.24","7,272.65","91.31K","-2.10%"
"09/27/2024","7,428.30","7,428.49","7,436.46","7,402.35","81.65K","-0.41%"
"09/26/2024","7,458.74","7,374.71","7,458.74","7,369.35","99.34K","1.31%"
"09/25/2024","7,362.62","7,422.36","7,441.99","7,341.13","96.51K","-0.94%"
"09/24/2024","7,432.21","7,436.33","7,474.44","7,425.37","146.76K","0.20%"
"09/23/2024","7,417.25","7,291.47","7,417.25","7,291.47","105.44K","2.27%"
"09/20/2024","7,252.32","7,219.62","7,338.66","7,219.62","193.97K","0.70%"
"09/19/2024","7,202.16","7,151.28","7,248.38","7,151.28","100.31K","0.65%"
"09/18/2024","7,155.90","7,161.75","7,219.17","7,147.82","77.47K","-0.27%"
"09/17/2024","7,175.36","7,094.36","7,180.72","7,094.36","96.82K","1.00%"
"09/16/2024","7,104.20","7,032.34","7,104.20","7,031.13","60.97K","1.16%"
"09/13/2024","7,022.85","7,049.71","7,090.68","7,022.85","64.92K","-0.03%"
"09/12/2024","7,024.67","6,979.74","7,049.81","6,975.49","89.55K","1.15%"
"09/11/2024","6,944.88","7,001.73","7,017.74","6,944.88","103.74K","-0.57%"
"09/10/2024","6,984.63","7,004.02","7,109.75","6,984.63","129.34K","0.01%"
"09/09/2024","6,984.25","6,931.30","7,025.46","6,920.88","91.71K","0.69%"
