Date,Close,Open,High,Low,Volume,Change %,SMA,WMA,StochD,AD,PctDiffLow,FFT_Min,FFT_Max,Skewness,Kurtosis,SD
2016-04-06,7180.55,7223.08,7223.08,7171.13,127330.0,-0.54%,-0.011832235491476885,-0.01154633638158152,44.0172171941353,-0.009232046236227703,0.016299171029483136,62.38999999999942,143715.11,0.48723732364466105,-0.2752576289092117,0.008155513073043626
2016-04-07,7232.97,7204.36,7239.22,7199.96,93800.0,0.73%,-0.006255312245979955,-0.003716684193125797,39.385363042162915,-0.02141831227439056,0.017256728647435302,125.48595339718189,144002.97,0.4121690580999466,-0.4154836257384278,0.008235615897233707
2016-04-08,7247.2,7217.38,7247.2,7189.09,107510.0,0.20%,-0.004654815815013763,-0.0011824662026084076,35.11742353356717,-0.04164221132888025,0.010607812157916494,63.69190208450745,144320.43,0.4654112027221385,-0.36034437266263764,0.008215578611873128
2016-04-11,7291.43,7252.01,7291.43,7252.01,75100.0,0.61%,0.0015702514855282187,0.004722496645676467,40.678277724211576,-0.0655281142184618,0.01677559882473197,18.35673333914553,144619.45,0.5115679527830098,0.0671745667044652,0.007762767643609241
2016-04-12,7306.56,7295.12,7306.56,7276.52,103940.0,0.21%,0.00433686240753949,0.006316248207276532,48.41488494485884,-0.07020997284263125,0.018885447621225706,36.31999999999243,144862.8,0.6160409160219734,0.3023313013718001,0.007657498732277972
2016-04-13,7341.0,7324.02,7343.29,7318.37,186010.0,0.47%,0.009081081717953448,0.009835839462454163,67.47512385522623,0.04656452713266901,0.02368803800795689,24.612947812076037,145070.72,0.5578272294492461,0.20420063090309082,0.007691287296490117
2016-04-14,7357.28,7340.53,7374.96,7338.41,182350.0,0.22%,0.011346407867617777,0.01054908550936895,81.29195158756804,0.0916881505058684,0.02595825204674851,54.60024822513201,145298.83000000002,0.6172172625316373,0.31127716497899227,0.007652419185704888
2016-04-15,7321.3,7360.83,7363.04,7303.29,78240.0,-0.49%,0.006531176353152759,0.00475032074807493,84.57303488459735,0.13382992807257305,0.020940911683374877,152.50999999999476,145507.84999999998,0.8900500296851132,0.5102427292317757,0.007182578173183008
2016-04-18,7243.4,7313.58,7313.58,7235.79,80440.0,-1.06%,-0.003875263489135899,-0.005387258463059123,66.81875419058355,0.05962684192408282,0.010077909618149375,35.87285110742922,145763.76,0.2382575817756268,-0.6293810075533086,0.006212217547204466
2016-04-19,7215.09,7244.69,7264.49,7183.28,111100.0,-0.39%,-0.0069477399126231,-0.008248891594587636,43.56571652847956,-0.007458119729220165,0.006130135696884596,42.812293083721066,145796.26,0.07863468914091849,-0.914807639097678,0.005455275462320657
2016-04-20,7201.37,7212.41,7229.7,7189.53,108340.0,-0.19%,-0.008242026326951882,-0.008968725765883883,23.952967342066,-0.01999622438091956,0.00421690863225179,20.749999999985448,145704.61,-0.010685749571256101,-0.9204394617649183,0.004906987620016494
2016-04-21,7257.85,7212.66,7257.85,7194.08,121820.0,0.78%,-0.0005887689712260794,-0.0011344015339193752,26.316047686797834,0.029079441621846534,0.012092933749632242,49.526219691565295,145529.57,-0.08448215117580243,-0.9515277747468893,0.005227397398536469
